帧号,锥桶编号,X坐标(米),Y坐标(米),Z坐标(米),最终颜色,判断,实际IoU,YOLO颜色,YOLO置信度
39,1,11.643,1.854,-0.407,大黄锥,本帧颜色确认,0.293,大黄锥,0.158
39,2,6.791,4.194,-0.800,红色,本帧颜色确认,0.326,红色,0.808
39,3,5.352,6.313,-0.789,红色,本帧颜色确认,0.656,红色,0.842
39,4,6.797,-3.957,-0.811,蓝色,本帧颜色确认,0.433,蓝色,0.808
39,5,11.802,-1.134,-0.303,大黄锥,沿用历史颜色,,,
39,6,9.176,2.523,-0.797,红色,本帧颜色确认,0.264,红色,0.722
39,7,13.249,-1.035,-0.231,未知,雷达框未匹配,,,
39,8,13.173,1.866,-0.272,未知,雷达框未匹配,,,
39,9,9.074,-1.940,-0.672,蓝色,本帧颜色确认,0.330,蓝色,0.722
39,10,2.721,-5.363,-0.797,未知,雷达框未匹配,,,
39,11,5.545,-6.262,-0.823,蓝色,本帧颜色确认,0.326,蓝色,0.842
